Location,Area No.,Post-Monsoon Rise,Rank
Sathankadu,I,1.569333333,1
Chinna Mettupalaiyam,I,0.140333333,2
Thilagar Nagar,I,0.096333333,3
Kathivakkam,I,-0.066,4
Ernavoor,I,-0.075333333,5
Alex Nagar,III,1.563333333,1
Moolakadai,III,-0.004,2
Kavankarai,III,-0.269333333,3
Chinna Sekadu,III,-0.43,4
Milk Colony,III,-0.482666667,5
Tondiarpet,IV,0.227333333,1
Thiruvalluvar Nagar,IV,0.186666667,2
Cheriyan Nagar North / South,IV,0.18,3
Jeeva Nagar (North),IV,0.053333333,4
Korukkupet,IV,0.016666667,5
Thousand Lights,IX,3.315666667,1
Krishnampet,IX,0.541666667,2
Teynampet,IX,0.172333333,3
Vivekanandhapuram,IX,0.052333333,4
Chepauk,IX,-0.333333333,5
Seven Wells (North / South),V,0.286666667,1
Kondithope / Peddunaickenpet,V,0.156333333,2
Sowcarpet,V,0.092,3
Royapuram,V,0.075,4
Vallal Seethakathi Nagar,V,0.046333333,5
Choolai,VI,0.143666667,1
Kolathur,VI,-0.235666667,2
Venus Nagar,VI,-0.424333333,3
Siruvallur,VI,-0.51,4
Pulianthope,VI,-0.565666667,5
Ayyappakkam,VII,0.03,1
Puthagaram,VII,-0.411,2
Maduravoyal (Part) / Nerkundram (Part),VII,-0.664,3
Anna Nagar West Extension,VII,-0.727333333,4
Nolambur (Part) / Mugappair Eri Scheme,VII,-0.801,5
Pannerselvam Nagar,VIII,-0.313,1
Chetpet / Kilpauk South,VIII,-0.448,2
Vasantham Colony,VIII,-0.479666667,3
Shenoy Nagar,VIII,-0.714666667,4
Anna Nagar (East),VIII,-0.746333333,5
Virugambakkam South,X,0.151666667,1
VOC Nagar,X,0.012666667,2
Thiyagaraya Nagar,X,-0.104333333,3
Kumaran Nagar North / South,X,-0.285333333,4
Kodambakkam North,X,-0.505666667,5
Ramapuram,XI,-0.080333333,1
Maduravoyal,XI,-0.157666667,2
Mettukuppam,XI,-0.234666667,3
Porur,XI,-0.305,4
Valasaravakkam,XI,-0.307,5
Alandur Part / Adampakkam Part,XII,-0.166666667,1
Nanganallur,XII,-0.189,2
Mugalivakkam,XII,-0.365,3
Nanganallur Part / Pazhavanthangal Part,XII,-0.366333333,4
Adampakkam Part / Balaji Nagar,XII,-0.415,5
GD Naidu Nagar South,XIII,1.334666667,1
Adyar East,XIII,0.883,2
Guindy West,XIII,0.325333333,3
GD Naidu Nagar East,XIII,0.177,4
Adyar West,XIII,0.05,5
Kottivakkam,XIV,0.194666667,1
Palavakkam,XIV,-0.202,2
Madipakkam,XIV,-0.715,3
Perungudi,XIV,-0.777833333,4
Puzhuthivakkam,XIV,-1.067333333,5
Uthandi,XV,1.183333333,1
Neelankarai,XV,0.1435,2
Okkiyam Thuraipakkam,XV,-0.232666667,3
Injampakkam,XV,-0.296,4
Semmenchery,XV,-0.508333333,5
